seller_id,complaint_count,complaint_category
002100f778ceb8431b7a1020ff7ab48f,1,Delivery Delay
00720abe85ba0859807595bbf045a33b,0,Delivery Delay
014c0679dd340a0e338872e7ec85666a,0,Delivery Delay
02d35243ea2e497335cd0f076b45675d,2,Delivery Delay
02dcd3e8e25bee036e32512bcf175493,0,Delivery Delay
0417b067eeab773d2f7061a726dc477f,0,Delivery Delay
04308b1ee57b6625f47df1d56f00eedf,4,Delivery Delay
04aa0a1c5ce6b222003403a3e11c3cc0,0,Delivery Delay
054694fa03fe82cec4b7551487331d74,0,Delivery Delay
06a2c3af7b3aee5d69171b0e14f0ee87,10,Delivery Delay
070d165398b553f3b4b851c216b8a358,2,Delivery Delay
0725b8c0f3f906e58f70cbe76b7c748c,1,Delivery Delay
0747d5bb69f0586cc869d8af4c50f93e,0,Delivery Delay
082e0bf4cb865a6533b1e8e498cc0255,0,Delivery Delay
099095b050cfe8eb1ddff5317587e96e,1,Delivery Delay
0b35c634521043bf4b47e21547b99ab5,4,Delivery Delay
0bf0150d5b9d60d9cd2906003332f085,1,Delivery Delay
11bfa66332777660bd0640ee84d47006,4,Delivery Delay
157c3e4b42f81ac4a44e8b1ca2fe9876,1,Delivery Delay
165fc07beebdcb6190fba8a06db2a449,1,Delivery Delay
17306570e772e7718c92a562d33f5f1d,0,Delivery Delay
1835b56ce799e6a4dc4eddc053f04066,9,Delivery Delay
1900267e848ceeba8fa32d80c1a5f5a8,7,Delivery Delay
198c7ea11960a9844b544d9bcdca860c,1,Delivery Delay
1a932caad4f9d804097d7f8e615baed1,2,Delivery Delay
1ca7077d890b907f89be8c954a02686a,8,Delivery Delay
1ce3ae5a399804d1a87e706f8a813c3e,1,Delivery Delay
1da366cade6d8276e7d8beea7af5d4bf,1,Delivery Delay
1dfe5347016252a7884b694d4f10f5c4,0,Delivery Delay
2089a6d640999f9b9141ac719b2af596,3,Delivery Delay
213b25e6f54661939f11710a6fddb871,8,Delivery Delay
218f991754f360af9c2daa5e0b8e990c,0,Delivery Delay
23613d49c3ac2bd302259e55c06c050c,0,Delivery Delay
23a0ffca143a15b9b5bbdb7d552f626a,0,Delivery Delay
244c2f1bff6afe1f2eaf9bfe9b2aed38,1,Delivery Delay
26e2c91ef821e1ff8985f408788fe35b,1,Delivery Delay
2a1348e9addc1af5aaa619b1a3679d6b,3,Delivery Delay
2a261b5b644fa05f4f2700eb93544f2c,1,Delivery Delay
2aa3443d7bf9d9bb11133f420d75e083,1,Delivery Delay
2d50d6282f8aa2257819a77bfaa0efe0,1,Delivery Delay
2eb70248d66e0e3ef83659f71b244378,9,Delivery Delay
3771c85bac139d2344864ede5d9341e3,1,Delivery Delay
39c763cca83e654764b7a4a650fb9b7c,0,Delivery Delay
39d54ff918774174706fb065d7f9dc07,0,Delivery Delay
3a1a1fec38dd360f15fc912e821e169d,1,Delivery Delay
3b872fd4747f01cc56206f2934198618,0,Delivery Delay
3c03b12bab54d8b37d79d914bfdb1aa0,1,Delivery Delay
3fd1e727ba94cfe122d165e176ce7967,1,Delivery Delay
40db9e9aa57f7bb151bcda6b0f9bdbb7,0,Delivery Delay
431af27f296bc6519d890aa5a05fdb11,7,Delivery Delay
440dd6ab244315c632130ecfb63827b1,2,Delivery Delay
45213867cefbf2cd4c6177e10216a951,1,Delivery Delay
49067458c68f7701fd334ce326accbe0,1,Delivery Delay
4a3ca9315b744ce9f8e9374361493884,40,Delivery Delay
4aba391bc3b88717ce08eb11e44937b2,3,Delivery Delay
4c8b8048e33af2bf94f2eb547746a916,2,Delivery Delay
4e5725ba188db8252977a4f0227bd462,2,Delivery Delay
5058e8c1e82653974541e83690655b4a,4,Delivery Delay
50c9975695009e5e6473912e83a6d1da,3,Delivery Delay
522620dcb18a6b31cd7bdf73665113a9,10,Delivery Delay
52f0fe436a347ddad7ed5f9aa4e27eaa,0,Delivery Delay
54965bbe3e4f07ae045b90b0b8541f52,8,Delivery Delay
55bb6fe5bebe5012e2d7d9928e1128ff,1,Delivery Delay
5ab05b6d86d417796c69ffd6774ec832,0,Delivery Delay
5abb8ea023c77787f2c15da891c8d384,0,Delivery Delay
5b0cc932433fa5184b5b94bfe6bcc256,0,Delivery Delay
5b179e9e8cc7ab6fd113a46ca584da81,1,Delivery Delay
5b581417df4480f632484ba681e53944,0,Delivery Delay
5bc55dbe2f12b6af6d83ed46023e0dc8,1,Delivery Delay
5f67c6082caacb26e431a7b17940cece,2,Delivery Delay
602044f2c16190c2c6e45eb35c2e21cb,4,Delivery Delay
6039e27294dc75811c0d8a39069f52c0,1,Delivery Delay
610f72e407cdd7caaa2f8167b0163fd8,0,Delivery Delay
615005a3ef192c00c6f0e977cee3d2bc,1,Delivery Delay
63ffcb71394dd8ea3872ed9ffda17c74,0,Delivery Delay
66fd84ee7528c0c0de85d0f44a73d5ab,0,Delivery Delay
6973a06f484aacf400ece213dbf3d946,4,Delivery Delay
6fc26fe110feebd80a433e1f012a84f9,0,Delivery Delay
6fd52c528dcb38be2eea044946b811f8,3,Delivery Delay
7040e82f899a04d1b434b795a43b4617,1,Delivery Delay
70a12e78e608ac31179aea7f8422044b,8,Delivery Delay
71039d19d4303bf9054d69e9a9236699,0,Delivery Delay
710e3548e02bc1d2831dfc4f1b5b14d4,6,Delivery Delay
712e6ed8aa4aa1fa65dab41fed5737e4,7,Delivery Delay
7139dc5186aa238b006e066d8fbab2e4,2,Delivery Delay
7586919161935337bf6b6d7ff5779648,1,Delivery Delay
75d34ebb1bd0bd7dde40dd507b8169c3,0,Delivery Delay
7ad32824caee82087b3e2e5f33b1bf32,7,Delivery Delay
7c67e1448b00f6e969d365cea6b010ab,34,Delivery Delay
7f152321c60a266edc53af1925ef96c1,2,Delivery Delay
7fc87cc3e89b3d1d5cabdca32f8485aa,1,Delivery Delay
8160255418d5aaa7dbdc9f4c64ebda44,15,Delivery Delay
821fb029fc6e495ca4f08a35d51e53a5,1,Delivery Delay
82e0a475a88cc9595229d8029273f045,3,Delivery Delay
834f8533b2ecb6598dd004ff3de7203a,3,Delivery Delay
835f0f7810c76831d6c7d24c7a646d4d,1,Delivery Delay
8444e55c1f13cd5c179851e5ca5ebd00,1,Delivery Delay
850913d59ce317156b00f3705f1c3edb,2,Delivery Delay
855668e0971d4dfd7bef1b6a4133b41b,18,Delivery Delay
86bb7c4b535e49a541baf3266b1c95b1,3,Delivery Delay
87b740daf17b5d1be335a64164ec6842,0,Delivery Delay
88460e8ebdecbfecb5f9601833981930,16,Delivery Delay
891071be6ba827b591264c90c2ae8a63,2,Delivery Delay
897060da8b9a21f655304d50fd935913,8,Delivery Delay
89bc797e2e29667aa035d4368f9b7f92,1,Delivery Delay
8e6d7754bc7e0f22c96d255ebda59eba,3,Delivery Delay
8f54d64f28a993550aa7943f12572959,0,Delivery Delay
8f78f0903005064036736c7173a5c2ed,0,Delivery Delay
91f0eec23d4a61d7d7caeefa3f0ad1ca,0,Delivery Delay
972d0f9cf61b499a4812cf0bfa3ad3c4,2,Delivery Delay
977f9f63dd360c2a32ece2f93ad6d306,1,Delivery Delay
99002261c568a84cce14d43fcffb43ea,0,Delivery Delay
99a54764c341d5dc80b4a8fac4eba3fb,1,Delivery Delay
9c068d10aca38e85c50202e17b4a7e88,0,Delivery Delay
9d39404483343dd55c7ae254494d8388,0,Delivery Delay
a44fb5a447105f8469bdf16bf9159f25,0,Delivery Delay
a49928bcdf77c55c6d6e05e09a9b4ca5,6,Delivery Delay
a6bd7d1ccdac48c6b33b28596b7eb122,2,Delivery Delay
a7f13822ceb966b076af67121f87b063,1,Delivery Delay
abe42c5d03695b4257b5c6cbf4e6784e,1,Delivery Delay
ad781527c93d00d89a11eecd9dcad7c1,4,Delivery Delay
adcf50477d6a1f5d91bb9d54c4903cb5,0,Delivery Delay
af4a0e4cfe1d9c26b6712b1be25a72e5,0,Delivery Delay
b14db04aa7881970e83ffa9426897925,1,Delivery Delay
b17b679f4f5ce2e03ce6968c62648246,1,Delivery Delay
b19f3ca2ea475913750f25a5c37c8d8f,1,Delivery Delay
b1b3948701c5c72445495bd161b83a4c,2,Delivery Delay
b1fc4f64df5a0e8b6913ab38803c57a9,2,Delivery Delay
