rank,seller_id,seller_state,seller_city,total_orders,health_score,tier,avg_review_score,late_order_rate,pct_one_star,avg_actual_delivery_days,dominant_category,intervention_priority,total_negative_reviews,total_categorised,delivery_comms_compound,extreme_late_flag,compound_failure,low_review_coverage,boundary_case_flag,flag_return_refund
1,b1b3948701c5c72445495bd161b83a4c,SP,sao paulo,14,0.1938610662358639,🔴 At Risk,1.929,64.29,71.43,23.4,Non-Delivery,1 — Immediate (Delivery+Comms),8,4,1,0,0,0,0,0
2,54965bbe3e4f07ae045b90b0b8541f52,PR,foz do iguacu,73,1.1510500807754454,🔴 At Risk,3.145,30.14,36.23,26.17,Delivery Delay,1 — Immediate (Delivery+Comms),25,18,1,1,0,0,0,0
3,26e2c91ef821e1ff8985f408788fe35b,SP,ibitinga,12,1.3222940226171236,🔴 At Risk,3.0,41.67,25.0,26.22,Mixed — Delivery Delay/Non-Delivery,1 — Immediate (Delivery+Comms),4,3,1,1,0,0,0,0
4,2a1348e9addc1af5aaa619b1a3679d6b,MG,belo horizonte,48,1.4894991922455567,🔴 At Risk,3.17,27.08,34.04,27.31,Mixed — Non-Delivery/Product Quality,1 — Immediate (Delivery+Comms),13,9,1,1,0,0,0,0
5,ad781527c93d00d89a11eecd9dcad7c1,SP,sao jose do rio preto,38,2.1841680129240704,🔴 At Risk,3.342,31.58,26.32,25.5,Non-Delivery,1 — Immediate (Delivery+Comms),11,8,1,0,0,0,0,1
6,835f0f7810c76831d6c7d24c7a646d4d,SP,sao paulo,42,2.4071082390953182,🔴 At Risk,3.357,30.95,28.57,18.1,Non-Delivery,1 — Immediate (Delivery+Comms),12,7,1,0,0,0,0,1
7,1ca7077d890b907f89be8c954a02686a,SP,santana de parnaiba,108,2.5605815831987098,🔴 At Risk,2.393,22.22,52.34,15.54,Mixed — Delivery Delay/Non-Delivery,1 — Immediate (Delivery+Comms),61,31,1,0,0,0,0,9
8,821fb029fc6e495ca4f08a35d51e53a5,SP,sao paulo,24,3.105008077544424,🔴 At Risk,3.478,37.5,30.43,16.79,Non-Delivery,1 — Immediate (Delivery+Comms),5,3,1,0,0,0,0,2
9,d9e7e7778b32987280a6f2cb9a39c57d,SP,sao paulo,11,3.588852988691438,🔴 At Risk,3.545,36.36,27.27,18.47,Mixed — Delivery Delay/Non-Delivery,1 — Immediate (Delivery+Comms),3,2,1,0,0,1,0,0
10,5bc55dbe2f12b6af6d83ed46023e0dc8,MG,coronel fabriciano,17,3.7722132471728624,🔴 At Risk,2.412,23.53,47.06,13.93,Non-Delivery,1 — Immediate (Delivery+Comms),10,7,1,0,0,0,0,0
