seller_id,seller_state,seller_city,total_orders,total_gmv,avg_review_score,late_order_rate,tier,health_score,population,extreme_late_flag,boundary_case_flag
c0098efcf800861dcae589affca31408,SP,ribeirao preto,9,1189.28,4.778,11.11,Insufficient History,,Excluded,,
01c97ebb5cdac52891c0ed1c37ba0012,SP,catanduva,9,577.5,4.222,0.0,Insufficient History,,Excluded,,
039b29ff3b3473435d0cd59040575de9,SP,ribeirao pires,9,114.9,4.444,0.0,Insufficient History,,Excluded,,
03a2a6dcbe45d639c4dc2a0d24769c40,SP,maua,9,1078.41,4.111,11.11,Insufficient History,,Excluded,,
05a940b4ecae36cadfd8e93bd9c43257,GO,goiania,9,695.1,4.222,0.0,Insufficient History,,Excluded,,
07de60b03d150fb3ea09eab5da5e4c8b,SP,ibitinga,9,719.1,4.333,11.11,Insufficient History,,Excluded,,
0b18d63d0cd1d723567903fd34a07df2,SP,sp,9,1678.14,4.778,0.0,Insufficient History,,Excluded,,
0bebbb2cea103a4a020c95d43fd7d754,SP,sao paulo,9,1367.2,4.889,0.0,Insufficient History,,Excluded,,
0ddefe3c7a032b91f4e25b9c3a08fca1,SP,sao bernardo do campo,9,402.9,4.556,0.0,Insufficient History,,Excluded,,
134a288e7de827ec5ec62e3ec9c3a295,SP,sao paulo,9,877.45,4.778,0.0,Insufficient History,,Excluded,,
13fa2a6c6b9d0f43cb588d7c82117a12,SP,sao paulo,9,4987.0,4.111,33.33,Insufficient History,,Excluded,,
1782ce2db72c3dda627d5e7c898104e1,SP,taboao da serra,9,2010.8,4.333,11.11,Insufficient History,,Excluded,,
1996942dc085d7773ba77a529b163cd0,SP,pradopolis,9,2383.52,4.222,0.0,Insufficient History,,Excluded,,
1acde099eb406aa220b1169b188b42da,SP,sao paulo,9,311.1,4.222,0.0,Insufficient History,,Excluded,,
1bb3812d5f0747a3ab7348f199001a10,SP,sao paulo,9,834.4,4.889,0.0,Insufficient History,,Excluded,,
